Unnamed: 0,radio,MCC,MNC,TAC,CID,unit,LON,LAT,RANGE,SAM,changeable,created,updated,averageSignal,Country,Network,Continent
12847759,GSM,602,3,21333,25372,0,31.05651,29.998215,23897,10,1,1459715136,1465348064,0,Egypt,Etisalat,Africa
12847760,GSM,602,3,21362,23224,0,31.37352,29.839554,1000,4,1,1459813831,1474212997,0,Egypt,Etisalat,Africa
12847761,GSM,602,3,22533,5031,0,31.160659790039,29.99885559082,1000,1,1,1459695955,1459695955,0,Egypt,Etisalat,Africa
12847762,GSM,602,3,22202,40686,0,31.501235961914,30.59211730957,1000,1,1,1459681907,1459681907,0,Egypt,Etisalat,Africa
12847763,GSM,602,3,21333,25376,0,31.27739,30.095673,1000,2,1,1459715136,1460478702,0,Egypt,Etisalat,Africa
12847764,GSM,602,3,21062,20932,0,31.263199,30.067978,1000,3,1,1459715136,1464701388,0,Egypt,Etisalat,Africa
12847765,GSM,602,3,22533,9711,0,31.162033,29.999542,1000,2,1,1459718723,1482786220,0,Egypt,Etisalat,Africa
12847766,GSM,602,3,32086,7476,0,31.034317016602,30.057907104492,1000,1,1,1353462553,1353462553,0,Egypt,Etisalat,Africa
12847767,GSM,602,3,21031,7476,0,31.032944,30.058594,1000,2,1,1353462566,1353462566,0,Egypt,Etisalat,Africa
12847768,UMTS,602,3,21031,13638960,0,31.032943725586,30.059280395508,1000,2,1,1353462574,1353462574,0,Egypt,Etisalat,Africa
12847769,UMTS,602,3,32086,13638960,0,31.032394,30.059555,1000,5,1,1353462603,1353462603,0,Egypt,Etisalat,Africa
12847770,UMTS,602,3,32086,13645239,0,31.024856,30.057297,2181,9,1,1354105912,1449250993,0,Egypt,Etisalat,Africa
12847771,UMTS,602,3,32086,13651820,0,31.026077,30.063008,1000,7,1,1353462680,1353462680,0,Egypt,Etisalat,Africa
12847772,UMTS,602,3,32086,13651821,0,31.022141,30.06514,1000,15,1,1353462801,1353462801,0,Egypt,Etisalat,Africa
12847773,UMTS,602,3,32086,13645429,0,31.007081,30.074215,1941,24,1,1353462985,1353462985,0,Egypt,Etisalat,Africa
12847774,GSM,602,3,32086,20337,0,31.020584106445,30.066146850586,1000,1,1,1353462802,1353462802,0,Egypt,Etisalat,Africa
12847775,GSM,602,3,21031,20337,0,31.019211,30.06752,1000,3,1,1353462823,1353462823,0,Egypt,Etisalat,Africa
12847776,UMTS,602,3,21031,13638511,0,31.017837524414,30.067520141602,1000,1,1,1353462825,1353462825,0,Egypt,Etisalat,Africa
12847777,UMTS,602,3,32086,13638511,0,31.016268,30.068697,1000,7,1,1353462863,1353462863,0,Egypt,Etisalat,Africa
12847778,UMTS,602,3,32086,13655619,0,31.002928,30.076545,1576,7,1,1354105912,1415838481,0,Egypt,Etisalat,Africa
12847779,UMTS,602,3,32086,13661479,0,30.97928,30.087063,1000,13,1,1353463063,1353463063,0,Egypt,Etisalat,Africa
12847780,UMTS,602,3,32086,13661481,0,30.966568,30.088577,1000,3,1,1353463078,1353463078,0,Egypt,Etisalat,Africa
12847781,UMTS,602,3,32086,13661480,0,30.959474,30.08208,6289,10,1,1354105912,1437712320,0,Egypt,Etisalat,Africa
12847782,UMTS,602,3,32086,13659339,0,30.950546,30.078506,1000,7,1,1354105912,1455016495,0,Egypt,Etisalat,Africa
12847783,UMTS,602,3,32086,13659341,0,30.939834,30.075073,1771,10,1,1354105912,1481718521,0,Egypt,Etisalat,Africa
12847784,UMTS,602,3,32086,13655341,0,30.912881,30.080927,9181,21,1,1354105912,1452698298,0,Egypt,Etisalat,Africa
12847785,UMTS,602,3,32086,13652250,0,30.882615,30.088747,5276,18,1,1354105912,1505996829,0,Egypt,Etisalat,Africa
12847786,UMTS,602,3,32086,13652249,0,30.886689,30.102198,4847,8,1,1354105912,1472717720,0,Egypt,Etisalat,Africa
12847787,UMTS,602,3,32086,13646860,0,30.873528,30.123367,1476,12,1,1354105912,1472717638,0,Egypt,Etisalat,Africa
12847788,UMTS,602,3,32086,13645230,0,30.867463,30.130692,2219,14,1,1354105912,1442177997,0,Egypt,Etisalat,Africa
12847789,UMTS,602,3,32086,13645229,0,30.8535,30.143509,1000,6,1,1354105912,1438370236,0,Egypt,Etisalat,Africa
12847790,UMTS,602,3,32086,13645231,0,30.848922729492,30.145797729492,1000,1,1,1353463612,1353463612,0,Egypt,Etisalat,Africa
12847791,UMTS,602,3,32086,13646909,0,30.842789,30.150742,1106,15,1,1354105912,1472808876,0,Egypt,Etisalat,Africa
12847792,UMTS,602,3,32086,13646911,0,30.831985,30.158615,1000,3,1,1354105912,1438370236,0,Egypt,Etisalat,Africa
12847793,UMTS,602,3,32086,13646910,0,30.808497,30.173502,7064,26,1,1354105912,1506003499,0,Egypt,Etisalat,Africa
12847794,UMTS,602,3,32086,13646329,0,30.811279,30.172375,2227,17,1,1354105912,1472808876,0,Egypt,Etisalat,Africa
12847795,UMTS,602,3,32086,13644529,0,30.760445,30.211128,2999,35,1,1354105912,1480863864,0,Egypt,Etisalat,Africa
12847796,UMTS,602,3,32086,13644530,0,30.70724,30.236001,3282,41,1,1354105912,1481718480,0,Egypt,Etisalat,Africa
12847797,UMTS,602,3,32086,13646869,0,30.65102,30.262548,3847,34,1,1354105912,1505718636,0,Egypt,Etisalat,Africa
12847798,UMTS,602,3,32086,13646870,0,30.601613,30.287666,13341,41,1,1354105912,1506002948,0,Egypt,Etisalat,Africa
12847799,UMTS,602,3,32086,13644841,0,30.563279,30.314713,6823,8,1,1354105912,1433421903,0,Egypt,Etisalat,Africa
12847800,UMTS,602,3,32086,13640879,0,30.545239,30.316149,1809,22,1,1354105912,1480863829,0,Egypt,Etisalat,Africa
12847801,UMTS,602,3,32086,13640880,0,30.505123,30.333049,9323,20,1,1354105912,1473859956,0,Egypt,Etisalat,Africa
12847802,UMTS,602,3,32086,13658820,0,30.4618,30.349276,4494,48,1,1354105918,1463726900,0,Egypt,Etisalat,Africa
12847803,UMTS,602,3,32086,13651639,0,30.380202,30.393443,5875,70,1,1354105918,1480863829,0,Egypt,Etisalat,Africa
12847804,UMTS,602,3,32086,13642869,0,30.361485,30.383022,1812,3,1,1354105918,1505653474,0,Egypt,Etisalat,Africa
12847805,UMTS,602,3,32086,13651640,0,30.310523,30.452706,4942,56,1,1354105918,1462274225,0,Egypt,Etisalat,Africa
12847806,UMTS,602,3,32086,13734436,0,30.269393920898,30.479507446289,1000,1,1,1353465833,1353465833,0,Egypt,Etisalat,Africa
12847807,UMTS,602,3,32094,13734436,0,30.251226,30.499889,8461,35,1,1354105918,1627763459,0,Egypt,Etisalat,Africa
12847808,UMTS,602,3,32094,13734616,209,30.154215,30.503596,10960,48,1,1353466170,1657861456,0,Egypt,Etisalat,Africa
12847809,UMTS,602,3,32094,13734437,246,30.167769,30.501663,6929,44,1,1354105918,1657863700,0,Egypt,Etisalat,Africa
12847810,UMTS,602,3,32094,13734438,0,30.211121,30.542171,6024,41,1,1354105918,1627763030,0,Egypt,Etisalat,Africa
12847811,UMTS,602,3,32094,13734446,0,30.160798,30.594123,9382,24,1,1354105918,1490877339,0,Egypt,Etisalat,Africa
12847812,UMTS,602,3,32094,13734448,0,30.147569,30.606842,3119,25,1,1354105918,1627762618,0,Egypt,Etisalat,Africa
12847813,UMTS,602,3,32094,13734456,0,30.10197,30.650276,5850,75,1,1354105918,1644763463,0,Egypt,Etisalat,Africa
12847814,UMTS,602,3,32094,13734458,0,30.04054,30.700906,6848,45,1,1354105918,1644761830,0,Egypt,Etisalat,Africa
12847815,UMTS,602,3,32094,13734466,0,30.030941,30.717961,1941,33,1,1353467179,1353467179,0,Egypt,Etisalat,Africa
12847816,UMTS,602,3,32094,13734468,0,29.994737,30.752361,3185,54,1,1353467487,1353467487,0,Egypt,Etisalat,Africa
12847817,UMTS,602,3,32094,13734476,0,29.94947,30.795238,3294,54,1,1354105918,1490877339,0,Egypt,Etisalat,Africa
12847818,GSM,602,3,32094,37452,0,29.941177368164,30.803604125977,1000,1,1,1353467689,1353467689,0,Egypt,Etisalat,Africa
12847819,GSM,602,3,22251,37452,0,29.939117,30.804977,1000,2,1,1353467699,1353467699,0,Egypt,Etisalat,Africa
12847820,UMTS,602,3,32094,13734478,0,29.919714,30.825017,1851,27,1,1354105918,1490877339,0,Egypt,Etisalat,Africa
12847821,UMTS,602,3,32094,13736016,0,29.89405,30.863998,3317,44,1,1354105918,1490877333,0,Egypt,Etisalat,Africa
12847822,UMTS,602,3,32094,13734516,0,29.898605,30.856339,1000,5,1,1353467996,1353467996,0,Egypt,Etisalat,Africa
